id,model,temperature,seed,timestamp,control_options,control_option_order,control_answer,control_extraction,control_decision,treatment_options,treatment_option_order,treatment_answer,treatment_extraction,treatment_decision,status,error_message,individual_score,weight,bias
15,gpt-4o-mini-2024-07-18,0.0,42,2025-04-08 23:25:24,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Option 4: 30%,Option 4,3,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Option 5: 40%,Option 5,4,OK,,-0.9999999900000002,1.0,Anchoring
16,gpt-4o-mini-2024-07-18,0.0,43,2025-04-08 23:25:26,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 2: 90%,Option 2,9,OK,,-0.9999999900000002,1.0,Anchoring
17,gpt-4o-mini-2024-07-18,0.0,44,2025-04-08 23:25:27,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 6: 50%,Option 6,5,OK,,0.49999999916666665,1.0,Anchoring
18,gpt-4o-mini-2024-07-18,0.0,45,2025-04-08 23:25:29,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,OK,,0.0,1.0,Anchoring
19,gpt-4o-mini-2024-07-18,0.0,46,2025-04-08 23:25:31,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Option 4: 30%,Option 4,3,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","I would choose Option 8: 70%. This allocation level allows for a significant investment in enhancing the company's presence at top engineering universities, which is crucial for attracting top talent in the semiconductor industry.",Option 8,7,OK,,0.6666666644444444,1.0,Anchoring
20,gpt-4o-mini-2024-07-18,0.0,47,2025-04-08 23:25:33,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 2: 90%,Option 2,9,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",I choose Option 4: 70%.,Option 4,7,OK,,0.33333333277777777,1.0,Anchoring
21,gpt-4o-mini-2024-07-18,0.0,48,2025-04-08 23:25:35,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Option 6: 50%,Option 6,5,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Option 3: 20%,Option 3,2,OK,,0.7499999981250001,1.0,Anchoring
22,gpt-4o-mini-2024-07-18,0.0,49,2025-04-08 23:25:37,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",I choose Option 3: 80%.,Option 3,8,OK,,0.0,1.0,Anchoring
23,gpt-4o-mini-2024-07-18,0.0,50,2025-04-08 23:25:39,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 2: 90%,Option 2,9,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",I choose Option 6: 50%.,Option 6,5,OK,,0.7999999984,1.0,Anchoring
24,gpt-4o-mini-2024-07-18,0.0,51,2025-04-08 23:25:41,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 2: 90%,Option 2,9,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",I choose Option 5: 60%.,Option 5,6,OK,,0.7499999981250001,1.0,Anchoring
